,Unnamed: 0,Date,Total Tested,Total Cases,Total Deaths,Total Recovered,Newly Tested,New Cases,New Deaths,Newly Recovered,Notes,Day of Pandemic/Outbreak,Positivity rate,Death case ratio,Cases Normalised,Tests Normalised,Daily Tests SMA3,Daily Cases SMA3,Daily Deaths SMA3,Daily Tests SMA7,Daily Cases SMA7,Daily Deaths SMA7,Daily Recoveries SMA7
85,85,2020-06-03,345583.0,55140.0,746.0,11590.0,12510.0,2695.0,37.0,470.0,0,85/83,0.21542765787370105,0.013529198404062387,0.008991965620328848,0.008494584447780713,12217.666666666666,2662.3333333333335,32.0,11303.857142857143,2406.8571428571427,28.857142857142858,523.5714285714286
86,86,2020-06-04,358277.0,57563.0,781.0,12161.0,12694.0,2423.0,35.0,571.0,0,86/84,0.19087757995903576,0.013567743168354672,0.008084427717275251,0.0086195247785874,12436.0,2676.3333333333335,36.333333333333336,11785.857142857143,2463.1428571428573,31.714285714285715,533.7142857142857
87,87,2020-06-05,372365.0,60391.0,811.0,12804.0,14088.0,2828.0,30.0,643.0,0,87/85,0.20073821692220328,0.013429153350664835,0.009435724962630792,0.009566083589155451,13097.333333333334,2648.6666666666665,34.0,12185.42857142857,2506.714285714286,32.714285714285715,541.2857142857143
88,88,2020-06-06,384851.0,63026.0,846.0,13325.0,12486.0,2635.0,35.0,521.0,0,88/86,0.21103636072401089,0.01342303176466855,0.008791773435831731,0.008478287882892885,13089.333333333334,2628.6666666666665,33.333333333333336,12542.42857142857,2631.1428571428573,33.714285714285715,564.2857142857143
89,89,2020-06-07,397987.0,65769.0,888.0,13903.0,13136.0,2743.0,42.0,578.0,0,89/87,0.2088154689403167,0.013501801760707931,0.009152119367926544,0.008919653181938245,13236.666666666666,2735.3333333333335,35.666666666666664,12722.42857142857,2659.4285714285716,34.0,588.8571428571429
90,90,2020-06-08,410841.0,68504.0,930.0,14560.0,12854.0,2735.0,42.0,657.0,0,90/88,0.2127742337015715,0.013575849585425669,0.00912542707666026,0.008728168544506257,12825.333333333334,2704.3333333333335,39.666666666666664,12838.857142857143,2710.0,36.857142857142854,566.1428571428571
91,91,2020-06-09,425595.0,71675.0,975.0,15337.0,14754.0,3171.0,45.0,777.0,0,91/89,0.21492476616510778,0.013603069410533658,0.010580156950672645,0.010018313264792697,13581.333333333334,2883.0,43.0,13217.42857142857,2747.1428571428573,38.0,602.4285714285714
92,92,2020-06-10,441560.0,74865.0,1012.0,15900.0,15965.0,3190.0,37.0,563.0,0,92/90,0.19981208894456623,0.013517665130568356,0.010643551142430065,0.010840610768091055,14524.333333333334,3032.0,41.333333333333336,13711.0,2817.8571428571427,38.0,615.7142857142857
93,93,2020-06-11,457332.0,78052.0,1049.0,16747.0,15772.0,3187.0,37.0,847.0,0,93/91,0.20206695409586609,0.013439758109977964,0.01063354153320521,0.010709559225451432,15497.0,3182.6666666666665,39.666666666666664,14150.714285714286,2927.0,38.285714285714285,655.1428571428571
94,94,2020-06-12,473322.0,81523.0,1095.0,17249.0,15990.0,3471.0,46.0,502.0,0,94/92,0.21707317073170732,0.013431792254946456,0.011581117873158232,0.010857586356515877,15909.0,3282.6666666666665,40.0,14422.42857142857,3018.8571428571427,40.57142857142857,635.0
95,95,2020-06-13,489960.0,84379.0,1139.0,17827.0,16638.0,2856.0,44.0,578.0,The total number of coronavirus cases in Bangladesh exceeded the total number of coronavirus cases in China.,95/93,0.1716552470248828,0.013498619324713496,0.00952914798206278,0.011297593608487252,16133.333333333334,3171.3333333333335,42.333333333333336,15015.57142857143,3050.4285714285716,41.857142857142854,643.1428571428571
96,96,2020-06-14,501465.0,87520.0,1171.0,18730.0,14505.0,3141.0,32.0,903.0,0,96/94,0.21654601861427095,0.013379798903107861,0.010480060858424086,0.009849236404081474,15711.0,3156.0,40.666666666666664,15211.142857142857,3107.285714285714,40.42857142857143,689.5714285714286
97,97,2020-06-15,516503.0,90619.0,1209.0,34027.0,15038.0,3099.0,38.0,15297.0,"Bangladesh saw a sharp surge in the total number of recoveries two days after overtaking China in terms of coronavirus infections. Dr. Nasima Sultana said that over 15,000 patients recovered from COVID-19. The patients who recovered from COVID-19 included both symptomatic and asymptomatic patients. The recoveries occurred not only in hospital, but also at home.",97/95,0.2060779358957308,0.013341572959313168,0.010339926329276106,0.01021115594929867,15393.666666666666,3032.0,38.0,15523.142857142857,3159.285714285714,39.857142857142854,2781.0
98,98,2020-06-16,533717.0,94481.0,1262.0,36264.0,17214.0,3862.0,53.0,2237.0,0,98/96,0.22435227140699432,0.013357182925667595,0.01288570360879778,0.01168871116579514,15585.666666666666,3367.3333333333335,41.0,15874.57142857143,3258.0,41.0,2989.5714285714284
99,99,2020-06-17,551244.0,98489.0,1305.0,38189.0,17527.0,4008.0,43.0,1925.0,0,99/97,0.22867575740286417,0.013250210683426576,0.013372837924407431,0.011901245532873906,16593.0,3656.3333333333335,44.666666666666664,16097.714285714286,3374.8571428571427,41.857142857142854,3184.1428571428573
100,100,2020-06-18,567503.0,102292.0,1343.0,40164.0,16259.0,3803.0,38.0,1975.0,0,100/98,0.23390122393751153,0.01312908145309506,0.012688847960708948,0.011040243687966956,17000.0,3891.0,44.666666666666664,16167.285714285714,3462.8571428571427,42.0,3345.285714285714
101,101,2020-06-19,582548.0,105535.0,1388.0,42945.0,15045.0,3243.0,45.0,2781.0,0,101/99,0.21555333998005982,0.013152034869948358,0.010820387572069186,0.010215909114057621,16277.0,3684.6666666666665,42.0,16032.285714285714,3430.285714285714,41.857142857142854,3670.8571428571427
102,102,2020-06-20,596579.0,108775.0,1425.0,43993.0,14031.0,3240.0,37.0,1048.0,0,102/100,0.23091725465041693,0.013100436681222707,0.01081037796284433,0.009527379247546857,15111.666666666666,3428.6666666666665,40.0,15659.857142857143,3485.1428571428573,40.857142857142854,3738.0
